,,,,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,Registered Voters as  % of Population,% Democrats,% Democrats,% Democrats,% Democrats,% Democrats,% Republicans,% Republicans,% Republicans,% Republicans,% Republicans,Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%),Voter Turnout (%)
Hunterdon,Franklin Twp,23,7,"2,333","2,338","2,489","2,495","2,538",72.1,72.41,77.35,77.2,72.2,16.72,17.09,19.72,19.76,-,44.75,43.87,44.21,44.41,-,41.66,20.4,75.21,49.18,65.45
Hunterdon,Glen Gardner,23,7,"1,156","1,131","1,221","1,202","1,232",68.97,68.01,63.76,62.47,64.44,21.97,21.41,23.73,24.79,-,31.75,33.01,37.23,37.69,-,39.01,28.56,71.42,42.68,59.66
Hunterdon,Holland,23,7,"3,860","3,873","4,107","4,127","4,164",74.17,75.03,79.89,80.12,81.55,16.55,16.48,19.17,20.11,-,40.54,40.06,41.91,41.99,-,35.75,12.32,74.95,43.59,62.25
Gloucester,Paulsboro,3,1,"3,619","3,649","3,715","3,605","3,717",60.4,60.93,62.35,60.9,63.19,55.24,58.23,59.72,60.71,-,6.94,6.4,7.35,7.55,-,34.98,33.02,60.05,35.53,46.03
Gloucester,Newfield,3,2,"1,139","1,157","1,175","1,177","1,223",74.4,75.42,74.98,75.4,78.95,42.58,41.35,41.72,41.07,-,20.81,20.14,21.92,23.64,-,52.85,30.25,68.26,39.93,54.95
Gloucester,National Park,3,1,"2,016","1,985","2,006","2,017","2,074",67.31,66.19,66.91,67.57,70.11,47.12,46.86,47.24,47.22,-,10.91,11.4,13.31,13.83,-,32.19,21.16,63.31,36.79,48.7
Gloucester,Monroe,4,1,"23,825","24,094","25,210","25,427","26,380",63.74,65.36,68.3,68.87,71.37,43.44,42.26,44.32,44.64,-,15.33,15.53,17.33,18.57,-,39.05,17.98,67.08,34.87,51.7
Gloucester,Logan,3,1,"4,149","4,212","4,328","4,305","4,452",69.49,70.4,72.52,72.43,75.46,39.38,38.93,42.58,45.57,-,17.16,17.34,19.59,20.17,-,35.02,23.79,69.69,38.51,55.73
Gloucester,West Deptford,3,1,"15,339","15,525","16,031","15,926","16,322",71.74,72.48,75.08,74.95,77.45,36.51,35.81,38.57,39.08,-,16.4,16.31,18.23,19.13,-,42.5,31.25,68.69,41.4,54.02
Gloucester,Westville,5,1,"2,665","2,667","2,758","2,724","2,811",63.09,63.14,65.5,64.95,67.52,32.42,31.85,34.43,36.01,-,17.26,17.5,18.75,19.38,-,31.93,16.39,63.38,31.98,46.74
Gloucester,Washington Twp,4,1,"34,824","34,873","36,415","36,365","37,408",72.79,72.86,75.81,76,78.73,33.97,33.41,35.58,36.16,-,23.59,23.58,25.07,25.86,-,36.42,21.26,70.05,34.57,54.84
Gloucester,Wenonah,5,1,"1,780","1,768","1,812","1,852","1,910",79.11,78.44,80.6,82.72,85.96,32.02,32.25,35.86,36.66,-,24.66,23.67,23.89,24.08,-,54.78,31.62,77.21,52.59,66.34
Gloucester,South Harrison,3,2,"2,250","2,285","2,361","2,404","2,513",69.75,72.82,74.11,75.84,79.88,30.53,29.36,31.01,30.87,-,28.84,28.73,30.58,31.07,-,37.69,19.78,74.63,39.64,59.21
Gloucester,Swedesboro,3,2,"1,625","1,648","1,671","1,627","1,694",61.95,63.07,64.22,62.72,65.68,29.85,29.42,32.36,34.91,-,19.38,18.73,19.9,20.28,-,32.92,21,62.48,33.19,47.64
Essex,Millburn,27,7,"14,276","14,413","15,744","15,108","15,613",69.98,70.78,77.53,73.74,77.4,31.65,30.71,-,36.09,-,20.4,19.77,-,19.37,-,37.76,20.42,64.25,36.8,59.33
Essex,Irvington,28,10,"31,675","31,634","33,406","29,198","29,938",58.11,57.96,61.38,53.22,55.2,51.75,50.71,-,58.73,-,1.34,1.32,-,1.69,-,26.06,7.56,53.03,30.32,45.49
Cumberland,Upper Deerfield,3,2,"5,144","5,109","5,339","5,233","5,262",67.52,67.35,71.29,70.42,71.3,25.02,25.01,27.29,28.05,-,23.02,22.45,25.59,26.54,-,42.38,22.8,67.15,37.99,53.14
Cumberland,Millville,1,2,"18,301","17,931","18,877","18,253","18,359",64.22,63.52,67.28,65.38,66.44,26.38,25.97,28.9,30.52,-,15.2,15.38,17.21,18.41,-,30.79,2.45,57.53,34.67,44.52
Essex,Cedar Grove,40,11,"8,782","8,796","9,568","9,385","9,658",70.02,69.67,75.98,73.88,76.96,25.5,24.9,-,27.63,-,25.48,24.9,-,28.44,-,36.22,22.32,71.26,38.58,59.45
Essex,Belleville,29,8,"20,431","20,524","22,632","21,760","22,447",56.14,56.46,62.51,59.62,61.33,36.5,35.63,-,40.6,-,12.84,12.38,-,13.63,-,24.96,12.16,60.7,28.36,44.34
Essex,Roseland,27,11,"4,819","4,897","5,440","5,172","5,344",82.72,83.34,92.44,87.11,91.33,29.94,29.96,-,32.89,-,29.67,28.92,-,29.7,-,37.46,27.36,70.7,47.14,63.29
Essex,Verona,26,11,"10,102","10,266","11,163","10,892","11,295",73.73,75.66,82.57,80.04,84.17,31.29,30.8,-,34.72,-,23.02,22.59,-,23.78,-,39.11,12.82,72.97,42.86,66.06
Gloucester,Clayton,3,2,"5,242","5,370","5,628","5,680","5,892",63.1,63.23,65.34,65.47,67.83,36.09,35.49,38.39,39.56,-,16.06,15.73,17.4,18.05,-,35.5,22.36,68.19,38.24,54.01
Gloucester,Glassboro,3,1,"10,979","11,151","11,512","11,200","11,559",57.76,58.03,58.04,55.97,57.82,34.88,34.82,38.19,40.54,-,13.65,13.86,15.7,16.8,-,32.26,20.05,63.82,36.53,51.16
Essex,North Caldwell,26,11,"4,922","4,935","5,332","5,212","5,410",72.56,74.09,79.95,77.44,81.75,23.61,23.38,-,25.81,-,31.69,31.45,-,32.71,-,33.54,10.15,69.37,38.7,62.44
Bergen,Woodcliff Lake,39,5,"4,316","5,361","4,741","4,483","4,555",73.53,90.6,80.48,75.94,77.7,25.03,25.37,28.74,28.9,-,23.78,23.28,25.16,25.48,-,48.93,31.64,73.89,50.59,67.49
Sussex,Andover Twp,24,5,"4,144","4,011","4,233","4,209","4,313",67.55,66.61,70.48,70.41,72.93,15.13,15.73,18.47,19.03,-,45.05,44.5,44.86,44.9,-,37.62,23.36,72.31,39.53,58.8
Bergen,Wood-Ridge,36,9,"5,076","4,505","5,952","5,839","6,027",60.07,54.61,69.21,64.75,65.8,29.56,29.52,33.11,34.6,-,16.92,16.61,18.64,18.91,-,48.35,42.44,77.82,48.35,63.88
Somerset,Watchung,21,7,"4,415","4,328","4,584","4,615","4,807",75.3,73.16,77.05,77.11,79.39,20.45,20.19,23.76,24.42,-,33.18,34.08,33.77,33.74,-,37.1,18.6,71.07,40.8,63.93
Bergen,Washington Twp,39,5,"5,013","6,596","7,010","6,821","6,886",53.86,70.36,74.93,72.62,74.48,20.32,20.09,22.09,22.73,-,38.55,38.11,38.59,37.7,-,53.04,36.13,78.23,49.98,65.57
Bergen,Waldwick,40,5,"7,133","6,530","6,880","6,652","6,762",71.71,64.69,68.62,65.91,66.25,21.64,20.92,24.88,25.68,-,24.71,24.71,26.77,27.18,-,44.65,29.05,77.86,46.14,67.94
Sussex,Green,24,5,"2,593","2,528","2,695","2,701","2,781",73.83,72.1,77.18,77.48,80.01,13.04,12.5,14.81,15.77,-,42.07,41.85,44.75,45.13,-,37.6,17.68,74.55,41.39,60.34
Sussex,Fredon,24,5,"2,474","2,404","2,537","2,529","2,540",75.13,73.88,78.96,79.13,80,12.81,12.77,15.41,16.41,-,46.56,47.46,47.97,48.12,-,43.13,23,77.65,44.76,64.61
Sussex,Frankford,24,5,"4,115","4,010","4,165","4,139","4,121",75.28,73.78,77.55,77.39,77.59,12.56,12.67,14.55,15.22,-,55.24,55.69,56.04,57.28,-,39.1,21.72,75.37,48.37,60.66
Burlington,Bordentown,7,3,"2,651","2,715","2,829","2,737","2,852",67.97,69.94,73.46,71.37,75.03,34.55,33.74,39.17,41.1,-,17.96,17.38,19.12,18.96,-,42.47,29.32,73.31,51.26,63.71
Burlington,Bass River,9,2,950,959,"1,010",980,"1,002",65.88,66.18,69.99,68.25,70.46,17.79,17.31,18.61,18.98,-,33.26,32.33,33.96,35.1,-,38.21,28.15,72.97,40.1,56.59
Sussex,Branchville,24,5,596,571,593,591,597,73.4,71.2,75.25,75.48,76.93,15.44,15.41,17.37,18.61,-,52.85,55.17,54.47,53.3,-,39.77,43.26,73.52,50.08,60.8
Sussex,Lafayette,24,5,"1,834","1,790","1,875","1,876","1,908",74.49,73.39,77.67,78.04,80.27,13.25,12.91,14.67,14.55,-,45.58,45.47,46.83,47.71,-,38.6,20.61,75.09,44.78,62.79
Sussex,Montague,24,5,"2,487","2,345","2,514","2,479","2,574",65.97,62.52,67.62,67.09,70.17,12.55,12.58,15.55,15.61,-,49.66,50.41,49.92,49.9,-,40.97,26.14,67.78,39.01,56.68
Sussex,Hamburg,24,5,"2,148","2,061","2,189","2,204","2,327",67.59,65.32,69.51,70.37,74.49,16.71,16.74,20.19,21.55,-,34.96,34.89,35.77,36.8,-,31.89,17.86,69.99,37.25,53.07
Sussex,Hardyston,24,5,"5,731","5,612","6,002","6,052","6,227",71.43,69.89,75.72,76.93,79.79,16.44,16.32,18.88,19.43,-,35,34.94,37.79,38.98,-,36.15,15.18,72.68,39.44,58.37
Bergen,Tenafly,37,9,"8,733","9,086","9,813","9,050","9,061",58.94,61.06,66.1,60.74,61.89,35.38,34.51,38.43,38.99,-,14.92,14.9,15.8,15.32,-,50.9,31.98,68.88,37.1,62.04
Bergen,Upper Saddle River,39,5,"5,015","6,019","6,330","5,987","6,055",60.02,71.83,76.03,71.15,73.22,16.35,16.35,19.69,20.81,-,30.54,30.17,32.72,32.2,-,61.52,16.13,71.25,38.23,63.85
Bergen,Saddle Brook,38,9,"8,382","8,728","9,360","9,014","9,104",59.94,61.91,66.53,63.62,65.36,32.58,32.24,35.18,35.46,-,18.56,18.11,20.37,20.29,-,52.02,17.62,74,42.67,61.13
Bergen,South Hackensack,36,9,"1,312","1,388","1,484","1,417","1,407",53.12,56.31,60.42,56.86,57.06,25.54,25.25,31.81,33.4,-,21.1,20.07,20.33,19.44,-,55.41,30.19,73.72,39.38,55.65
Bergen,Ramsey,39,5,"9,878","10,276","11,000","10,493","10,631",66.74,68.04,72.77,68.84,70.92,20.73,20.42,23.79,24.65,-,26.73,26.53,28.99,30.31,-,51.64,17.56,76.6,48.49,69.56
Bergen,Paramus,38,5,"16,880","17,249","18,526","17,943","18,126",62.91,63.95,68.92,66.38,68.25,25.69,25.21,28.44,29.11,-,19.89,19.78,21.48,21.89,-,46.84,28.19,72.51,42.07,62.09
Bergen,Ridgewood,40,5,"15,769","16,461","17,892","16,608","16,678",61.85,64.25,70.07,64.64,65.99,27.86,27.39,32,32.76,-,23.97,23.45,24.51,24.58,-,46.93,32.98,74.38,43.2,68.35
Somerset,Branchburg,16,7,"10,698","10,206","10,927","11,074","11,463",73.52,69.55,74.39,75.27,78.69,17.54,17.78,21.26,22.52,-,36.24,36.36,37.06,37.32,-,34.82,19.75,75.44,46.28,62.85
Bergen,Ridgefield,36,9,"5,580","5,749","6,172","5,867","5,880",49.43,50.55,54.35,51.31,52.2,31.21,30.81,34.65,36.04,-,21.75,20.98,21.35,21.18,-,44.75,37.19,70.2,34.38,56.55
Bergen,Rochelle Park,38,5,"3,418","3,567","3,842","3,703","3,737",59.12,62.77,67.77,64.91,66.57,25.69,25.38,30.03,31.57,-,19.35,18.28,20.7,21.16,-,39.85,28.32,74.23,50.2,63.85
Somerset,Franklin Twp,17,12,"41,191","39,878","43,296","43,481","44,974",62.47,60.28,65.29,65.16,68.31,38.72,39.21,43.96,45.75,-,12.85,12.83,13.35,13.7,-,35.29,21.75,70.52,39.65,56.5
Bergen,River Vale,39,5,"6,976","7,240","7,704","7,464","7,541",69.61,72.16,75.92,73.01,74.95,22.2,21.92,24.47,25,-,26.63,26.21,28.48,28.58,-,42.26,18.52,75.04,42.59,64.81
Somerset,Bridgewater,23,7,"30,008","28,847","31,193","31,143","32,193",66.83,63.82,69.32,68.58,72.11,22.33,22.43,26.25,27.21,-,26.39,26.16,27.39,27.85,-,36.29,24.55,74.22,43.77,61.99
Somerset,Millstone,16,7,328,326,348,341,358,78.1,77.8,82.86,81.19,86.89,34.15,31.9,37.64,36.95,-,24.7,25.77,28.45,29.62,-,41.16,28.22,73.28,51.91,65.92
Bergen,Rutherford,36,9,"10,395","10,826","11,661","11,096","11,414",56.3,57.92,62.58,59.08,61.83,32.07,32,36.45,37.4,-,20.15,21.2,22.38,22.5,-,46.08,34.79,76.99,46.67,66.87
Somerset,Hillsborough,16,7,"27,434","26,275","28,344","28,765","29,825",69.38,65.98,71.16,71.91,75.12,21.97,22.38,26.46,27.53,-,21.89,21.94,24.04,25.17,-,34.63,21.82,73.88,42.82,60.11
Somerset,Montgomery,16,7,"15,807","14,962","16,433","16,572","17,215",69.49,64.91,70.37,70.27,73.98,26.36,26.73,30.51,31.46,-,22.01,21.98,22.6,22.59,-,36.17,21.19,69.57,39.15,58.56
Somerset,Peapack Gladstone,23,7,"1,930","1,835","1,970","1,991","2,063",74.4,70.52,75.8,76.28,79.62,16.58,16.78,19.29,20.89,-,49.74,50.14,49.85,49.42,-,38.6,33.35,73.35,49.37,66.84
Somerset,Rocky Hill,16,7,546,527,565,561,590,79.71,76.38,82.12,81.54,87.15,35.16,33.59,40,41,-,30.95,30.36,27.79,28.16,-,56.59,32.83,75.4,54.19,67.46
Somerset,Somerville,16,7,"7,146","6,439","6,924","6,927","7,290",58.8,52.77,56.92,55.78,59.74,28.74,29.99,34.82,36.77,-,19.61,20.52,21.56,22.33,-,37.77,32.4,71.52,45.43,60.75
Somerset,Warren,21,7,"11,621","11,220","12,183","12,326","12,759",72.87,70.32,75.99,76.9,81.04,17.29,17.47,20.14,21.13,-,31.87,31.65,32.85,32.97,-,33,18.4,71.01,38.23,59.29
Bergen,Oakland,39,5,"8,402","8,670","9,233","8,817","8,978",64.4,65.86,70.32,66.67,68.95,19.64,19.24,22.92,23.35,-,29.93,29.41,31.36,30.3,-,42.56,33.49,75.96,45.21,66.04
Bergen,Old Tappan,39,5,"3,909","3,978","4,318","4,157","4,239",65.77,66.12,71.94,68.8,71.29,18.92,18.48,21.19,21.75,-,24.86,24.81,28.01,28.88,-,40.52,27.95,72.95,37.12,61.17
Bergen,Palisades Park,37,9,"6,374","6,842","7,735","7,487","7,917",31.14,32.98,37.27,35.67,38.03,28.98,28.79,34.78,35.79,-,14.8,14.08,14.64,14.9,-,33.57,18.06,59.69,28.9,51.99
Monmouth,Wall,30,4,"19,481","19,119","20,386","20,322","20,774",74.83,73.38,78.45,78.22,80.82,16.98,16.74,18.83,19.32,-,32.7,32.35,35.54,36.19,-,40.37,21.9,76,46.49,63.12
Monmouth,Tinton Falls,11,4,"12,955","12,698","13,856","13,924","14,542",72.38,71.45,77.84,78.27,82.8,27.32,26.77,29.39,30.32,-,22.07,21.61,24.37,25.34,-,36.92,23.91,76.08,47.62,62.48
Monmouth,Spring Lake,30,4,"2,544","2,507","2,607","2,573","2,591",85.03,84.55,87.99,86.87,88.58,16.98,16.73,17.95,18.31,-,44.81,44.61,45.57,45.67,-,55.82,48.22,74.42,49.4,68.24
Monmouth,Rumson,13,4,"5,354","5,265","5,635","5,632","5,862",76.73,76.02,82.58,82.05,86.51,17,16.58,18.78,19.39,-,34.53,34.16,35.69,36.49,-,36.05,17,71.34,41.25,61.31
Monmouth,Oceanport,13,6,"4,344","4,225","4,459","4,478","4,598",74.41,73.62,77.89,77.81,79.95,22.01,21.56,23.03,23.38,-,28.06,28.57,30.88,31.69,-,43.39,44.5,77.24,46.72,64.22
Monmouth,Neptune Twp,11,4,"18,948","18,279","3,517","19,744","3,578",68.35,66.29,12.66,70.91,12.97,36.55,36.18,40.34,41.81,-,14.73,14.43,15.4,15.64,-,38.81,25.9,71.51,43.71,56.48
Monmouth,Millstone Twp,12,4,"7,403","7,277","7,865","7,874","8,093",70.86,69.68,75.26,74.87,77.42,16.16,15.87,18.36,18.8,-,35.34,34.99,37.32,38.05,-,37.28,17.29,75.32,41.91,60.15
Monmouth,Howell,30,4,"35,364","34,763","37,349","37,436","38,292",68.14,66.72,71.49,71.34,73.48,19.1,18.77,21.78,22.65,-,23.53,23.55,26.96,27.96,-,30.53,14.86,72.5,37.9,56.11
Monmouth,Matawan,12,6,"5,688","5,536","5,906","5,928","6,089",65.24,62.53,66.75,66.84,69.7,25.09,24.41,28.17,29.77,-,20.29,20.37,22.96,23.97,-,38.34,31.79,75.09,43.47,57.92
Monmouth,Loch Arbour,11,6,160,146,143,136,143,84.21,78.07,78.14,74.32,79.01,36.88,35.97,37.76,37.5,-,26.88,28.78,27.97,25.74,-,47.5,27.4,77.62,66.18,74.13
Monmouth,Keyport,13,6,"4,573","4,374","4,574","4,510","4,677",63.85,61.22,64.56,63.66,66.31,27.44,26.89,31.46,32,-,20.86,20.65,23.09,23.64,-,43.52,279.4,70.92,42.02,58.01
Monmouth,Hazlet,13,6,"13,857","13,628","14,403","14,323","14,657",68.71,67.81,72.04,71.56,74.02,25.55,25.04,27.52,27.72,-,19.7,20.05,23.88,25.13,-,35.87,20.96,72.75,42.75,56.16
Monmouth,Freehold,11,4,"5,313","5,128","5,468","5,401","5,571",44.37,42.88,45.98,45.41,47.34,29.4,29.01,33.07,34.29,-,16.15,16.26,18.18,18.42,-,33.79,26.66,68.4,39.7,53.74
Monmouth,Fair Haven,13,4,"4,300","4,266","4,589","4,622","4,794",71.1,70.76,76.79,77.68,82.37,24.67,24.11,26.85,26.98,-,28.7,28.49,29.98,30.66,-,46.56,33.68,77.23,52.01,65.62
Cumberland,Bridgeton,3,2,"8,450","8,145","8,457","8,053","8,108",33.34,32.54,33.83,32.86,33.17,32.85,32.55,36.98,39.17,-,8.2,8.02,8.69,9.85,-,29.14,14.44,53.86,26.5,38.18
Cape May,Woodbine,1,2,"1,431","1,370","1,414","1,368","1,358",58.67,55.2,56.7,55.59,55.75,21.41,21.47,24.86,25,-,32.78,31.84,30.71,31.46,-,41.79,32.7,59.19,33.11,49.41
Monmouth,Bradley Beach,30,4,"2,727","2,680","2,781","2,791","2,881",63.86,62.79,65.5,66.06,69.02,28.82,28.29,33.01,33.57,-,17.79,17.94,19.2,19.03,-,35.68,19.55,71.7,44.29,60.71
Cumberland,Fairfield,1,2,"3,593","3,491","3,568","3,509","3,495",55.44,54.93,57.89,57.65,59.22,45.64,45.77,46.69,47.93,-,10.88,10.91,12.36,13.14,-,36.21,21.54,60.54,32.77,48.15
Monmouth,Avon By The Sea,30,4,"1,504","1,458","1,522","1,534","1,537",83.79,81.27,84.93,85.51,86.35,22.41,22.25,25.49,25.81,-,28.66,27.82,29.43,30.64,-,46.61,47.67,77.79,54.69,66.49
Cumberland,Deerfield,3,2,"2,015","1,981","2,097","2,058","2,092",64.52,63.92,68.02,67.32,68.84,25.11,25.04,26.66,27.36,-,25.01,24.89,26.99,28.43,-,40.4,30.79,64.66,40.33,51.2
Monmouth,Allentown,12,4,"1,319","1,319","1,453","1,429","1,465",72.99,72.27,80.28,78.91,81.94,25.85,25.38,28.15,29.6,-,24.79,23.23,25.6,24.7,-,54.97,43.9,76.32,54.65,68.05
Monmouth,Aberdeen,13,6,"11,756","11,617","12,458","12,544","13,135",64.27,62.78,67.8,68.34,70.48,27.36,26.93,31.32,32.46,-,17.18,17.07,19.63,20.27,-,32.03,20.39,72.05,41.43,55.87
Cumberland,Lawrence,1,2,"1,882","1,852","1,973","1,941","1,985",57.5,57.39,61.66,60.92,64.05,28.91,27.97,29.4,28.75,-,19.66,19.01,22.05,23.8,-,32.84,22.52,63.36,33.8,48.36
Middlesex,South River,18,12,"8,156","8,261","8,795","8,462","8,633",49.93,50.38,53.97,51.76,53.88,31.8,30.86,33.66,35.16,-,14.5,14.44,16.49,17.45,-,35.79,28.7,64.22,35.78,49.4
Cumberland,Greenwich,1,2,594,580,596,605,594,74.06,73.7,76.8,78.47,77.65,29.46,28.97,29.7,28.6,-,29.63,30.17,31.38,31.74,-,51.35,40.52,73.49,47.11,58.59
Sussex,Vernon,24,5,"15,999","15,430","16,179","16,141","16,517",70.17,68.43,72.28,72.58,74.77,15.47,15.41,18.77,19.61,-,34.56,34.76,36.75,37.28,-,33.18,31.83,71.77,41.14,55.57
Middlesex,South Brunswick,16,12,"26,537","26,782","29,447","28,647","29,701",58.76,58.65,64.4,61.53,64.65,34.41,33.71,37.59,39.63,-,13.34,13.02,13.8,14.17,-,33.13,18.85,67.99,38.65,53.82
Sussex,Sussex,24,5,"1,168","1,104","1,175","1,181","1,226",56.21,54.04,57.63,58.35,61.21,15.58,15.31,18.38,20.66,-,36.47,38.95,38.64,37.85,-,38.61,26.99,65.7,31.92,45.92
Burlington,Maple Shade,6,1,"11,341","11,484","12,302","11,784","12,182",59.76,60.56,65.27,62.61,65.75,37.19,36.48,41.85,43.14,-,14.82,14.46,16.51,17.66,-,31.34,15.12,64.27,31.99,50.05
Union,Berkeley Heights,21,7,"9,271","9,220","9,775","9,678","9,976",68.46,68.05,72.19,70.34,73.35,22.11,21.65,24.84,25.8,-,35.32,34.39,35.21,36.01,-,39.98,24.11,74.94,46.72,67.19
Sussex,Walpack,24,5,18,17,18,13,13,120,113.33,163.64,118.18,118.18,5.56,11.76,16.67,15.38,-,72.22,70.59,61.11,76.92,-,38.89,35.29,66.67,46.15,61.54
Burlington,Fieldsboro,7,3,361,353,384,386,394,68.11,66.35,72.05,72.69,73.1,50.14,49.86,48.96,50,-,13.3,12.75,17.71,18.65,-,42.38,26.63,71.61,46.37,62.18
Sussex,Ogdensburg,24,11,"1,602","1,548","1,597","1,619","1,658",69.35,67.72,69.62,70.95,73.17,18.54,18.09,21.23,21.93,-,34.14,34.82,36.57,37.06,-,34.96,18.28,73.14,41.07,56.88
Burlington,Edgewater Park,7,3,"5,138","5,165","5,383","5,333","5,500",58.35,58.77,61.5,61.03,63.41,43.62,42.83,45.85,46.93,-,15.69,15.37,15.88,16.01,-,45.33,26.99,68.68,39.56,57.13
Sussex,Stanhope,24,11,"2,451","2,379","2,529","2,508","2,554",70.15,69.77,75.18,75.07,77.07,20.2,20.34,23.88,24.6,-,31.78,32.03,33.1,33.65,-,31.33,22.61,74.5,40.63,57.64
Burlington,Lumberton,8,3,"8,041","8,140","8,731","8,781","9,044",64.6,65.5,70.84,71.45,74.1,31.91,31.28,35.14,36.17,-,23.45,23.17,23.26,23.6,-,40.93,18.07,72.68,40.87,60.53
Sussex,Sandyston,24,5,"1,432","1,409","1,477","1,476","1,513",74.82,74.51,78.69,79.53,82.32,13.76,13.7,16.38,17.55,-,46.93,47.62,50.64,50.75,-,51.54,31.44,75.36,45.73,61
Burlington,Florence,7,3,"7,975","8,096","8,523","8,440","8,643",64.54,63.81,67.3,66.62,68.92,28.64,28.77,32.2,33.01,-,24.1,23.47,24.83,25.57,-,42.36,37.03,73.51,48.25,60.31
Burlington,Burlington Twp,7,3,"14,326","14,558","15,641","15,481","16,118",63.19,63.78,68.76,67.83,71.56,39.96,39.38,43.8,45.48,-,15.36,14.97,15.75,15.99,-,42.7,24.47,72.44,42.79,60.72
Burlington,Cinnaminson,7,3,"11,547","11,631","12,407","12,283","12,509",68.57,69.85,75.05,74.46,76.39,28.73,28.49,31.47,32.12,-,27.26,26.76,28.29,32.33,-,43.9,24.45,75.37,44.13,63.7
Burlington,Delanco,7,3,"3,201","3,272","3,435","3,375","3,471",70.41,72.05,76.49,75.35,78.14,34.71,34.47,37.87,39.17,-,22.87,22.16,23.61,23.79,-,46.39,34.41,72.34,45.87,61.71
Burlington,Eastampton,8,3,"3,795","3,820","4,114","4,053","4,271",62.74,63.55,68.87,68.08,71.79,31.38,30.86,34.64,35.21,-,21.29,20.68,22.14,23.17,-,42.11,19.55,70.81,40.93,60.55
Union,Cranford,21,7,"16,279","16,257","17,374","17,268","17,742",68.09,67.34,72.1,70.66,73.41,30.16,29.91,33.44,34.71,-,22.53,22.05,23.2,23.47,-,43.31,27.61,77.46,48.78,67.07
Union,Elizabeth,20,8,"51,204","51,774","56,665","55,569","57,879",39.78,40.13,44.05,42.67,44.91,56.98,54.49,56.4,57.5,-,4.79,4.61,5.33,6.19,-,29.44,21.71,58.48,24.49,41.17
Union,Garwood,21,7,"2,811","2,822","3,044","3,007","3,112",62.7,64.86,70.03,68.22,71.29,28.18,27.5,31.04,32.92,-,19.71,19.47,21.48,22.05,-,45.89,39.12,75.69,48.75,66.26
Burlington,Bordentown Twp,7,3,"6,965","7,083","7,695","7,739","8,023",60.02,59.35,63.62,63.42,67.16,28.1,27.54,31.07,32.33,-,18.81,18.4,20.21,20.33,-,40.43,26.16,74.22,42.63,59.73
Cumberland,Maurice River,1,2,"2,213","2,178","2,234","2,209","2,247",27.93,28.15,34.04,34.92,37.26,23.59,23.78,24.98,25.44,-,24.67,24.66,26.9,28.02,-,37.82,27.09,66.88,42.51,57.5
Cumberland,Shiloh,1,2,340,336,342,330,329,66.8,66.53,68.4,66.4,66.87,20.29,21.73,21.05,21.52,-,37.35,36.31,38.6,40.61,-,54.12,36.9,74.85,47.27,62.61
Cumberland,Stow Creek,1,2,958,953,994,980,"1,017",66.99,66.97,70.15,69.75,73.43,19.94,20.04,21.33,21.43,-,36.85,36.2,38.83,39.39,-,50.1,32.21,72.64,45.51,59.49
Cumberland,Vineland,1,2,"38,155","37,735","39,838","39,087","39,829",62.37,62.05,65.82,64.72,66.42,26.95,26.51,30.47,32.1,-,15.67,15.44,16.42,17.41,-,31.85,21.76,59.84,30.42,45.8
Middlesex,New Brunswick,17,6,"23,664","23,289","24,767","21,334","22,729",41.46,40.83,43.52,37.38,40.52,36.15,35.71,40.88,44.97,-,4.11,4.01,4.47,4.98,-,16.16,8.36,44.1,22.12,36.88
Middlesex,Plainsboro,14,12,"12,412","12,527","13,762","12,415","13,046",52.98,53.03,58.79,52.82,56.55,33.85,33.4,38.2,40.58,-,11.98,11.58,11.68,11.78,-,29.31,13.79,59.42,34.45,51.89
Morris,Parsippany-Troy Hills,26,11,"32,454","32,013","34,302","34,273","35,213",60.46,59.68,64.41,64.42,67.37,21.98,21.62,25.4,26.91,-,34.12,34.16,33.77,35.09,-,32.09,16.93,69.81,42.29,56.38
Morris,Randolph,25,11,"17,396","17,291","18,760","18,896","19,502",67,66.61,72.64,72.98,76.12,22.29,21.88,25.9,27.11,-,28.25,27.63,29.04,29.51,-,34.58,11.36,72.24,38.42,60.24
Cape May,Dennis,1,2,"4,654","4,653","4,840","4,808","4,941",73.65,73.68,77.01,76.89,79.93,22.66,21.95,23.27,23.4,-,33.53,33.09,34.86,34.77,-,49.23,33.94,73.49,48.11,62.3
Cape May,Middle Township,1,2,"12,749","12,815","13,702","13,786","14,296",67.52,68.84,73.68,74.81,78.11,23.86,23.17,25.38,25.47,-,31.12,30.56,32.06,33.23,-,42.25,32.44,68.47,41.95,56.09
Cape May,Avalon,1,2,"1,295","1,240","1,264","1,218","1,224",99.85,96.65,98.83,96.13,98.16,14.63,14.36,15.71,15.82,-,53.03,51.96,54.09,54.85,-,49.96,48.06,70.57,49.34,63.07
Cape May,Cape May Point,1,2,210,206,199,180,186,73.94,73.31,70.82,64.52,67.39,32.84,33.5,38.3,39.77,-,39.3,38.58,39.89,40.34,-,64.76,56.8,76.38,71.67,80.65
Camden,Woodlynne,5,1,"1,702","1,482","1,602","1,621","1,697",57.93,50.34,54.42,55.01,58.1,40.26,46.44,51.78,53.48,-,6.31,4.51,5.46,5.94,-,24.38,15.86,58.18,22.21,36.65
