,,,,Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Per Capita Taxable Property Value ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),Income Per Taxpayer ($),No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,No.of Taxpayers and Dependents,% Residential Value,% Residential Value,% Residential Value,% Residential Value,% Residential Value,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating,Moody's Rating
Monmouth,West Long Branch,11,6,"1,216,797,698","1,238,330,325","1,289,218,121","1,370,590,535","1,363,532,435","145,689","154,907","161,901","171,926","172,403","48,279.83","50,121.18",-,-,-,"6,382","6,356",-,-,-,77.62,78.73,105.89,79.11,79.79,-,-,-,-,-
Morris,Boonton Twp,25,11,"920,560,685","915,835,359","910,943,339","924,328,209","963,745,645","211,477","209,910","208,836","212,489","224,336","92,675.91","78,968.83",-,-,-,"4,170","4,054",-,-,-,93.12,93.2,104.73,91.45,91.51,-,-,-,-,-
Mercer,Princeton (as of 1/1/2013),16,12,"7,429,017,501","7,611,604,758","7,773,035,044","8,015,869,383","8,279,221,135","246,746","257,123","248,745","251,897","263,787","129,356.27","132,949.70",-,-,-,"21,375","21,546",-,-,-,82.32,82.48,112.66,82.67,82.11,Aaa,Aaa,Aaa,Aaa,-
Monmouth,Shrewsbury Twp,11,4,"51,979,174","51,994,373","52,949,650","53,088,608","415,640,311","46,451","46,341","52,477","52,563","415,640","25,063.64","26,125.51",-,-,-,"1,001",999,-,-,-,36.24,35.39,100.01,36.32,34.31,Aa3,Aa3,Aa3,-,-
Atlantic,Corbin City,1,2,"51,788,028","50,450,752","53,090,194","53,784,158","51,526,523","104,834","102,542","106,393","107,568","104,516","28,093.93","30,371.29",-,-,-,472,479,-,-,-,83.57,84.58,104.88,83.99,84.27,-,-,-,-,-
Monmouth,Spring Lake Heights,30,4,"1,117,461,317","1,191,391,637","1,196,920,885","1,214,623,717","3,388,110,216","239,593","255,718","259,579","263,019","743,822","47,230.30","47,812.37",-,-,-,"4,303","4,334",-,-,-,84.43,84.05,99.27,84.76,84.77,-,-,-,-,-
Monmouth,Union Beach,13,6,"499,623,310","523,990,031","541,573,261","564,220,621","606,010,472","87,653","93,653","96,987","101,442","110,485","28,798.09","30,246.46",-,-,-,"5,136","5,157",-,-,-,83.32,84.78,106.87,86.3,87.25,-,-,-,-,-
Atlantic,Folsom,2,2,"168,001,591","167,744,572","172,782,614","163,342,765","169,700,078","89,840","90,624","94,727","89,996","94,699","29,453.08","31,025.28",-,-,-,"1,690","1,663",-,-,-,73.61,73.49,160.67,74.82,75.89,-,-,-,-,-
Monmouth,Upper Freehold,12,4,"1,227,496,834","1,263,545,689","1,243,668,810","1,254,770,379","1,291,086,018","178,182","183,468","180,740","179,895","183,942","55,701.92","58,534.95",-,-,-,"6,900","6,975",-,-,-,79,79.87,102.06,80.45,80.99,-,-,-,-,-
Atlantic,Egg Harbor,2,2,"211,221,274","233,511,153","233,744,048","227,965,733","215,565,203","49,536","55,086","55,746","54,616","52,526","21,763.49","21,066.28",-,-,-,"3,640","3,670",-,-,-,79.2,78.68,104.43,78.14,74.69,-,-,-,-,-
Passaic,Pompton Lakes,40,11,"1,122,288,566","1,108,405,362","1,120,588,643","1,171,587,459","1,220,597,311","100,509","98,947","100,709","104,550","110,822","38,568.31","39,307.93",-,-,-,"10,323","10,406",-,-,-,86.24,86.26,182.58,86.16,84.05,Aa3,Aa3,Aa3,Aa3,-
Passaic,North Haledon,35,11,"1,300,741,578","1,294,034,658","1,315,167,524","1,341,520,331","1,372,150,631","152,813","151,384","154,890","156,537","163,002","46,666.68","48,586.32",-,-,-,"8,334","8,361",-,-,-,93.72,93.83,111.3,93.95,94.01,A1,A1,-,-,-
Passaic,Wayne,40,11,"9,283,197,047","9,376,436,746","9,927,037,094","9,969,815,116","10,291,011,176","168,635","169,832","181,515","181,032","191,793","53,404.58","55,360.23",-,-,-,"51,190","50,971",-,-,-,73.42,73.71,191.2,71.96,72.19,Aaa,Aaa,Aaa,Aaa,-
Passaic,Ringwood,39,5,"1,629,163,434","1,639,386,632","1,634,967,048","1,661,924,285","1,712,423,683","131,628","131,699","131,863","133,445","140,064","48,936.18","49,566.34",-,-,-,"11,760","11,649",-,-,-,88.92,88.48,110.95,88.56,88.88,Aa3,-,-,-,-
Ocean,Surf City,9,2,"1,643,787,172","4,057,256,682","1,723,721,072","1,720,447,237","4,546,535,990","1,351,799","3,369,815","1,463,261","1,449,408","3,811,011","46,390.02","49,296.18",-,-,-,"1,016",990,-,-,-,93.14,93.07,110.06,94.01,94.18,-,-,-,-,-
Ocean,Seaside Heights,10,3,"641,584,606","2,062,324,522","637,374,723","647,752,177","2,127,521,163","220,173","713,114","220,088","223,132","732,113","20,320.61","21,128.69",-,-,-,"1,401","1,554",-,-,-,62.48,61.81,100.62,62.59,62.35,-,-,-,-,-
Passaic,Haledon,35,9,"538,293,732","521,853,916","538,248,583","554,823,293","592,882,140","63,545","61,751","64,115","65,559","71,294","22,331.62","23,147.26",-,-,-,"7,826","7,848",-,-,-,76.03,76.13,104.93,76.75,76.58,-,-,-,-,-
Passaic,Bloomingdale,39,11,"799,981,973","796,430,874","831,921,673","850,245,586","821,135,557","97,821","96,948","101,789","103,160","101,726","39,636.88","41,713.38",-,-,-,"6,969","7,002",-,-,-,84.69,84.97,113.35,85.27,85.38,A2,A2,A2,A2,-
Salem,Elmer,3,2,"100,346,322","106,891,430","107,565,262","108,435,982","625,388,840","74,056","79,592","81,059","82,649","477,396","29,256.45","29,933.55",-,-,-,"1,086","1,091",-,-,-,76.21,76.5,101.81,75.52,75.56,-,-,-,-,-
Salem,Mannington,3,2,"201,924,241","210,810,234","203,446,816","201,671,674","275,210,459","113,632","120,463","116,255","116,506","159,081","37,149.92","37,269.62",-,-,-,"1,254","1,244",-,-,-,32.86,33.07,95.47,37.63,38.16,-,-,-,-,-
Hunterdon,Lebanon Twp,23,7,"872,173,811","904,361,611","909,623,997","916,593,910","914,961,992","135,158","141,461","149,339","150,237","150,265","52,582.30","54,002.49",-,-,-,"5,773","5,824",-,-,-,82.68,83.41,122.31,82.93,83.26,-,-,-,-,-
Hunterdon,Raritan Twp,16,7,"3,901,466,468","4,025,308,435","4,133,916,947","4,118,380,018","4,199,059,121","176,849","182,628","188,256","186,301","188,985","63,119.54","63,168.93",-,-,-,"22,533","22,437",-,-,-,78.2,78.37,103.3,78.82,78.9,Aa2,Aa2,Aa2,-,-
Hunterdon,Kingwood,23,7,"616,771,705","598,245,006","608,197,058","622,456,921","613,131,886","162,052","158,099","162,359","165,900","164,027","49,242.59","53,969.79",-,-,-,"3,370","3,281",-,-,-,69.67,69.18,99.1,69.72,70.24,Aa3,Aa3,Aa3,Aa3,-
Hunterdon,Lebanon,23,7,"274,546,952","277,425,967","278,671,997","277,439,222","290,507,847","197,800","166,024","167,572","166,231","175,746","48,630.26","48,451.07",-,-,-,"1,398","1,421",-,-,-,56.11,55.2,102.44,56.32,56.37,-,A1,-,-,-
Hunterdon,West Amwell,15,7,"510,090,963","503,458,228","488,547,870","500,453,019","522,235,753","182,175","181,100","176,690","180,865","190,667","52,058.05","52,883.12",-,-,-,"2,748","2,763",-,-,-,71.86,71.72,96.2,73.11,72.34,A1,A1,A1,A1,-
Hunterdon,Readington,16,7,"3,041,209,280","3,097,507,318","3,209,906,616","3,216,258,133","3,189,395,779","189,602","194,433","202,199","201,482","201,351","65,437.14","67,168.60",-,-,-,"15,349","15,375",-,-,-,75.51,77.54,123.78,78.81,79.69,Aa1,-,-,-,-
Hunterdon,Tewksbury,23,7,"1,614,037,994","1,618,578,831","1,645,885,370","1,639,021,201","1,666,657,212","272,411","275,081","282,168","280,462","287,950","117,592.98","138,034.85",-,-,-,"5,054","5,071",-,-,-,77.67,77.99,121.26,78.39,78.31,Aa1,Aa1,Aa1,Aa1,-
Hunterdon,Hampton Boro,23,7,"126,973,981","119,501,670","119,382,843","122,109,438","124,458,939","92,479","87,804","89,762","91,743","93,931","34,650.09","36,176.55",-,-,-,"1,136","1,132",-,-,-,88.69,88.84,98.14,89.38,89.64,-,-,-,-,-
Hunterdon,High Bridge,23,7,"356,742,664","358,735,187","356,866,725","358,824,279","373,800,658","99,427","100,882","100,781","101,306","108,348","41,010.79","42,395.60",-,-,-,"3,352","3,352",-,-,-,93.71,92.34,108.05,92.22,91.98,A1,A1,-,-,-
Hunterdon,Frenchtown,23,7,"164,381,583","172,710,460","165,253,318","176,044,612","171,994,516","117,921","124,611","118,461","128,876","127,121","40,503.67","40,872.49",-,-,-,"1,145","1,140",-,-,-,73.55,73.65,108.9,73.08,73.46,-,-,-,-,-
Camden,Tavistock,6,1,"16,591,295","16,879,371","17,023,309","17,094,504","17,130,325","3,318,259","3,375,874","3,404,662","3,418,901","3,426,065",-,-,-,-,-,-,-,-,-,-,27.64,30.06,99.17,30.06,30.06,-,-,-,-,-
Camden,Winslow,4,1,"2,639,885,407","2,646,364,642","2,617,852,412","2,636,113,169","2,702,742,178","67,872","67,822","66,565","67,522","69,840","29,532.20","30,086.16",-,-,-,"32,746","32,972",-,-,-,85.84,85.9,98.93,86.26,86.17,A1,A1,A1,A1,-
Camden,Pine Hill,8,1,"469,080,859","463,390,136","473,139,812","466,241,563","450,575,267","44,828","44,090","44,958","44,252","43,163","25,218.93","26,287.10",-,-,-,"8,165","8,173",-,-,-,86.79,86.54,89.63,81.78,82.06,A1,A1,A1,A1,-
Camden,Somerdale,6,1,"327,881,035","331,486,578","338,421,668","345,832,460","347,992,938","61,412","60,712","61,464","62,787","63,584","25,881.79","27,816.14",-,-,-,"4,653","4,694",-,-,-,75.43,76.01,105.21,76.95,77.09,A1,A1,A1,A1,-
Cape May,Stone Harbor,1,2,"3,991,046,238","4,120,024,549","4,300,704,214","4,501,576,401","4,761,443,195","4,728,728","4,928,259","5,162,910","5,476,370","5,871,077","56,443.26","66,816.40",-,-,-,643,631,-,-,-,93.99,94.05,96.82,94.04,93.66,Aa2,Aa2,-,-,-
Cape May,Lower Township,1,2,"3,702,675,101","3,762,489,967","3,781,549,382","3,889,043,208","4,039,146,775","166,323","170,056","171,834","178,675","187,955","26,725.37","26,649.93",-,-,-,"18,455","18,497",-,-,-,90.35,90.37,104.62,90.43,90.44,Aa3,Aa3,Aa3,Aa3,-
Cape May,Ocean City,1,2,"11,512,997,300","11,637,400,947","11,967,348,978","12,186,726,736","12,499,744,267","1,012,221","1,024,870","1,055,322","1,087,518","1,132,121","46,546.84","51,093.68",-,-,-,"9,588","9,521",-,-,-,93.5,93.53,104.64,93.89,94.03,Aa2,Aa2,Aa2,Aa2,-
Cumberland,Hopewell,1,2,"304,622,934","307,912,111","324,435,541","335,442,563","341,911,016","67,604","69,085","72,972","75,858","78,223","29,504.50","30,103.75",-,-,-,"4,082","4,109",-,-,-,72.36,72.48,131.73,73.56,73.28,-,-,-,-,-
Cumberland,Commercial,1,2,"233,185,928","225,785,853","232,049,645","241,153,918","224,858,678","45,217","44,446","45,914","48,058","45,271","18,742.87","19,065.44",-,-,-,"3,561","3,534",-,-,-,83.89,83.77,81.65,84.01,84.14,-,-,-,-,-
Cape May,Wildwood Crest,1,2,"2,158,309,307","2,143,081,573","2,164,397,051","2,191,752,767","2,249,876,293","674,893","673,501","683,422","698,678","731,905","34,692.52","37,331.74",-,-,-,"2,761","2,831",-,-,-,84.49,84.57,94.42,84.63,84.49,Aa3,Aa3,Aa3,Aa3,-
Cape May,West Cape May,1,2,"425,813,087","437,124,017","471,721,816","485,835,928","525,451,206","419,520","430,240","464,293","478,656","523,358","33,934.65","38,200.78",-,-,-,825,837,-,-,-,87.08,87.12,103.06,87.36,88.25,-,-,-,-,-
Burlington,Springfield,8,3,"394,919,664","402,152,675","419,578,570","424,292,961","421,514,340","116,599","119,867","126,570","128,769","128,982","41,400.36","42,701.32",-,-,-,"2,963","2,983",-,-,-,73.83,72.68,109.1,72.56,72.54,A1,A1,A1,-,-
Burlington,Westampton,8,3,"1,118,993,737","1,159,475,459","1,218,099,564","1,200,305,347","1,197,525,791","128,017","132,876","138,720","137,021","137,932","36,903.12","38,444.09",-,-,-,"8,112","7,926",-,-,-,64.81,66.42,105.44,66.15,66.29,Aa3,Aa3,Aa3,Aa3,-
Burlington,Woodland,8,3,"144,062,205","144,002,937","151,401,372","150,061,783","146,934,044","80,258","80,314","85,153","84,542","83,061","35,315.42","34,792.24",-,-,-,"1,071","1,034",-,-,-,74.94,76.62,94.93,77.13,76.85,-,-,-,-,-
Camden,Berlin,8,1,"738,300,556","729,557,649","735,922,471","732,194,705","748,160,061","97,840","96,121","96,908","96,265","99,042","36,016.64","38,269.43",-,-,-,"6,729","6,679",-,-,-,80.17,80.53,99.21,80.87,80.85,A1,A1,A1,A1,-
Camden,Brooklawn,5,1,"119,468,414","115,070,883","114,423,361","125,552,227","123,186,144","61,933","59,530","59,225","64,918","64,428","22,941.43","23,546.49",-,-,-,"2,014","2,046",-,-,-,67.1,67.47,82.43,66.72,66.09,-,-,-,-,-
Camden,Chesilhurst,4,1,"89,070,681","84,509,369","85,086,301","84,963,082","84,060,220","54,779","51,719","52,009","51,838","51,761","22,933.54","23,856.31",-,-,-,"1,101","1,151",-,-,-,86.04,86.37,95.15,86.39,86.52,-,-,-,-,-
Camden,Gibbsboro,6,1,"226,082,042","233,076,996","212,356,864","217,321,718","217,419,885","100,929","103,867","94,465","96,716","97,585","36,758.92","35,616.35",-,-,-,"2,114","2,134",-,-,-,75.15,77,130.01,76.27,76.41,A1,A1,A1,A1,-
Camden,Gloucester Twp,4,1,"4,073,301,608","4,267,214,851","4,274,031,962","4,368,651,580","4,506,298,590","63,617","66,739","66,843","68,091","70,539","30,944.21","32,075.37",-,-,-,"58,608","58,645",-,-,-,86.32,85.41,96.87,85.38,85.47,A1,A1,A1,A1,-
Camden,Haddonfield,6,1,"2,154,218,749","2,234,522,593","2,266,108,296","2,295,555,017","2,318,411,788","188,784","195,770","198,364","200,748","204,355","77,892.74","76,411.04",-,-,-,"12,384","12,517",-,-,-,89.72,89.93,101.12,89.85,89.9,Aa2,Aa2,Aa2,Aa2,-
Camden,Oaklyn,6,1,"284,549,176","280,240,079","270,781,200","274,079,948","279,984,808","71,423","70,200","67,814","68,589","70,650","31,243.39","32,359.23",-,-,-,"3,557","3,589",-,-,-,84.77,85.24,106.58,85.42,85.46,A1,A1,A1,A1,-
Camden,Magnolia,5,1,"251,927,581","259,354,360","262,319,249","270,099,202","272,285,458","58,752","60,343","61,019","62,770","63,693","26,247.41","26,917.25",-,-,-,"3,738","3,761",-,-,-,79.2,79.21,100.36,79.2,79.27,-,-,-,-,-
Burlington,Riverton,7,3,"254,966,684","262,730,761","273,916,842","279,973,955","278,815,080","92,446","95,608","100,965","103,464","103,842","46,545.71","46,960.34",-,-,-,"2,626","2,697",-,-,-,90.25,90.29,113.12,90.19,90.18,A1,-,-,-,-
Burlington,Pemberton,8,3,"115,095,031","112,938,564","110,702,139","106,495,798","108,132,215","83,041","81,662","81,279","79,474","81,302","29,659.90","29,353.69",-,-,-,"1,202","1,135",-,-,-,83.15,83.12,107.49,82.96,82.94,A1,A1,A1,A1,-
Burlington,Riverside,7,3,"423,744,907","419,981,114","429,383,280","453,867,739","438,693,250","52,843","52,517","54,208","57,459","55,999","23,354.71","24,161.48",-,-,-,"6,444","6,525",-,-,-,84.33,84.95,97.96,85.5,85.5,-,-,-,-,-
Burlington,North Hanover,12,3,"399,516,842","416,826,073","420,568,891","425,286,271","433,306,910","52,245","54,781","55,477","56,404","57,759","32,700.47","34,384.60",-,-,-,"4,302","4,316",-,-,-,71.01,69.98,98.88,69.32,68.96,A2,A2,A2,A2,-
Burlington,Palmyra,7,1,"541,795,128","516,780,240","507,071,055","509,393,725","512,976,726","73,885","70,656","70,028","70,543","71,635","30,855.71","31,907.54",-,-,-,"6,311","6,310",-,-,-,85.62,85.58,106.11,85.67,85.62,A1,A1,A1,A1,-
Burlington,Mount Laurel,7,3,"6,145,026,657","6,316,157,489","6,258,810,278","6,403,291,250","6,333,297,020","147,211","150,953","149,955","153,696","153,736","47,657.78","49,359.65",-,-,-,"40,037","40,275",-,-,-,67.09,67.2,108.59,67.56,67.4,Aa2,Aa2,Aa2,Aa2,-
Burlington,New Hanover,12,3,"81,896,200","81,979,068","86,239,263","89,787,100","87,276,983","11,284","10,148","10,609","11,986","10,865","30,013.04","33,308.02",-,-,-,749,715,-,-,-,69.87,71.89,141.74,73.92,74.12,-,-,-,-,-
Burlington,Medford,8,3,"3,123,643,144","450,237,504","3,276,195,987","3,311,698,090","3,335,031,424","133,735","19,229","139,769","140,947","142,797","58,929.65","62,697.69",-,-,-,"23,233","23,345",-,-,-,86.5,86.96,109.77,87.54,87.54,Aa2,Aa2,Aa2,Aa2,-
Burlington,Mount Holly,8,3,"592,607,648","591,191,526","598,845,005","608,664,722","621,439,603","62,445","62,277","62,864","63,107","64,963","25,639.99","26,702.81",-,-,-,"7,446","7,629",-,-,-,79.35,79.22,92.81,79.09,79.11,-,-,-,-,-
Burlington,Southampton,8,3,"1,077,800,940","1,086,094,552","1,104,573,064","1,122,557,328","1,149,652,375","104,015","105,069","107,921","110,001","113,557","38,227.06","37,403.79",-,-,-,"8,973","8,972",-,-,-,83.8,83.85,110.73,83.71,83.93,A1,A1,-,-,-
Burlington,Shamong,8,3,"710,333,219","696,545,991","700,932,934","700,112,818","710,138,222","110,437","108,513","108,621","108,831","111,272","44,835.26","46,694.38",-,-,-,"6,405","6,422",-,-,-,90.42,90.31,105.66,90.27,90.36,-,-,-,-,-
Burlington,Medford Lakes,8,3,"456,315,257","3,262,317,610","453,868,893","471,639,470","480,190,104","111,026","798,609","111,983","117,528","121,660","43,228.58","45,046.64",-,-,-,"4,032","4,120",-,-,-,97.91,97.9,100.91,97.86,98,-,-,-,-,-
Hunterdon,Union Twp,23,7,"786,127,355","804,152,030","808,410,229","819,570,604","857,386,591","136,362","141,601","145,084","147,857","155,183","60,503.15","66,787.31",-,-,-,"4,393","4,379",-,-,-,77.32,75.64,115.81,75.6,75.81,A1,A1,-,-,-
Hunterdon,Stockton,16,7,"92,710,730","94,175,943","94,604,402","89,627,395","90,276,531","175,257","179,725","182,282","172,360","175,978","43,868.82","47,984.82",-,-,-,431,424,-,-,-,82.4,82.31,101.98,82.6,82.42,-,-,-,-,-
Hunterdon,Lambertville,15,7,"716,436,185","743,946,600","779,041,297","788,138,955","777,032,029","185,798","194,090","204,366","206,103","204,644","60,356","63,625.40",-,-,-,"3,554","3,557",-,-,-,79.27,79.24,105.41,78.8,78.93,A1,A1,A1,A1,-
Mercer,Lawrence,15,12,"4,848,525,992","4,987,841,424","4,992,898,491","4,848,134,160","5,011,916,815","146,349","150,046","151,774","146,200","153,420","52,087.15","51,929.07",-,-,-,"28,846","29,187",-,-,-,60.88,61.49,110.51,61.66,60.25,Aa3,Aa3,Aa2,Aa2,-
Mercer,Trenton,15,12,"2,367,761,129","2,286,949,912","2,359,356,845","2,414,404,463","2,441,950,609","28,176","27,153","28,069","28,417","29,080","15,592.90","15,881.01",-,-,-,"59,380","61,290",-,-,-,67.89,67.78,116.96,56.25,58.07,Baa1,Baa1,Baa1,Baa1,-
Mercer,Ewing,15,12,"2,874,920,034","2,839,454,431","2,868,041,658","2,783,683,198","2,918,111,341","78,666","77,823","79,708","76,163","80,122","35,467.70","36,508",-,-,-,"28,012","28,165",-,-,-,68.62,68.44,147.28,68.14,66.2,A2,A2,-,-,-
Mercer,Hightstown,14,12,"415,736,048","411,440,389","408,537,616","405,780,296","438,161,145","74,679","74,577","74,239","75,368","82,439","33,537.71","33,679.57",-,-,-,"5,366","5,331",-,-,-,80.14,80.25,104.67,80.41,80.35,A1,A1,A1,A1,-
Middlesex,Highland Park,18,6,"1,261,285,756","1,278,549,108","1,250,698,169","1,346,142,250","1,388,950,017","87,371","89,116","88,108","95,040","100,148","43,966.72","45,224.58",-,-,-,"12,123","12,321",-,-,-,75.68,75.09,225.78,76.04,76.45,Aa3,Aa3,Aa3,Aa3,-
Middlesex,Middlesex Borough,22,12,"1,401,134,167","1,406,808,225","1,454,962,464","1,482,286,091","913,021,730","100,888","100,962","105,340","106,893","66,586","32,453.03","33,430.59",-,-,-,"13,037","13,129",-,-,-,78.68,78.69,293.6,78.82,79.1,-,-,-,-,-
Middlesex,Carteret,19,6,"2,174,203,628","2,144,911,044","2,458,843,016","2,284,559,226","2,519,602,686","90,164","88,743","102,486","94,858","106,528","23,833.37","24,297.58",-,-,-,"21,859","22,572",-,-,-,56.56,56.33,129.4,50.85,51.31,A1,A1,A1,A1,-
Middlesex,East Brunswick,18,12,"7,138,376,556","7,108,627,682","7,232,472,877","7,503,988,327","7,795,196,921","147,262","145,145","148,725","153,644","162,366","46,386.21","48,085.57",-,-,-,"48,482","48,435",-,-,-,78.52,78.46,381.39,78.53,78.8,Aa1,Aa1,Aa1,Aa1,-
Hudson,Bayonne,31,"8, 10","5,310,944,100","5,280,038,079","5,433,899,230","5,862,422,162","6,350,349,832","80,499","79,625","82,036","87,257","97,573","28,238.61","29,144.76",-,-,-,"57,591","57,969",-,-,-,63.76,63.68,250.38,64.06,63.77,Baa1,Baa1,A3,A3,-
Gloucester,Woodbury Heights,3,1,"263,108,597","264,110,477","263,177,978","264,047,132","265,256,407","87,470","87,744","87,493","88,133","89,192","36,034.71","39,766.15",-,-,-,"2,901","2,925",-,-,-,74.73,75.41,103.73,75.7,76.35,A2,A2,A2,-,-
Hudson,Jersey City,"31, 33","8, 10","19,724,038,354","21,661,162,459","25,697,067,795","28,418,886,079","34,014,551,210","75,241","81,960","97,281","104,962","128,091","35,146.74","37,623.42",-,-,-,"226,144","229,066",-,-,-,55.77,54.82,422.65,53.76,46.77,A1,A1,Aa3,Aa3,-
Hudson,Harrison,32,8,"1,125,275,918","1,243,538,081","1,287,977,434","1,267,280,813","1,412,753,033","73,184","80,363","79,353","71,829","79,208","25,677.41","26,597.43",-,-,-,"12,786","13,358",-,-,-,59.07,60.34,259.74,64.26,65.11,Baa3,Baa2,Baa1,A2,-
Hudson,Secaucus,32,9,"4,339,809,449","4,386,650,322","4,617,013,346","4,841,749,809","5,345,425,788","235,654","229,619","232,924","239,513","257,710","44,855.26","47,316.96",-,-,-,"16,445","16,983",-,-,-,31.93,31.95,174.31,30.11,30.11,Aa2,Aa2,Aa2,-,-
Hunterdon,Bethlehem,23,7,"558,131,584","560,242,917","553,500,176","560,642,792","562,483,861","142,635","144,058","142,581","144,198","145,910","58,546.38","57,088.65",-,-,-,"3,675","3,696",-,-,-,85.38,85.4,104.64,85.46,85.31,-,-,-,-,-
Hunterdon,Clinton,23,7,"381,829,663","381,961,452","388,046,500","385,677,787","392,503,894","142,261","143,757","143,881","142,791","146,293","51,698.79","52,205.99",-,-,-,"2,545","2,652",-,-,-,75.06,75.14,108.52,74.73,74.71,-,-,-,-,-
Hunterdon,Delaware,16,7,"879,063,458","914,965,151","880,978,900","871,782,274","858,419,255","194,054","203,733","197,529","194,855","193,556","75,215.35","68,165.09",-,-,-,"4,234","4,225",-,-,-,66.37,67.68,110.72,67.51,67.95,Aa2,Aa2,Aa2,Aa2,-
Hunterdon,Franklin Twp,23,7,"553,048,159","533,791,223","551,214,672","574,233,622","567,067,873","170,905","165,312","171,291","177,671","161,328","60,091.57","59,674.55",-,-,-,"2,963","2,881",-,-,-,71.57,71.7,101.79,71.35,71.28,-,-,-,-,-
Hunterdon,Glen Gardner,23,7,"155,171,329","154,096,441","155,216,645","158,673,028","162,890,123","92,584","92,662","81,053","82,470","85,194","42,533.06","42,826.33",-,-,-,"1,469","1,463",-,-,-,92.93,92.91,111.41,92.83,93.04,A2,A2,A2,A2,-
Hunterdon,Holland,23,7,"661,271,005","659,125,614","662,687,529","669,146,949","678,673,735","127,070","127,688","128,902","129,906","132,917","42,795.62","43,811.56",-,-,-,"5,076","5,040",-,-,-,83.7,83.69,105.44,84.26,83.91,-,-,-,-,-
Gloucester,Paulsboro,3,1,"384,065,562","370,064,121","373,962,336","369,800,124","348,971,050","64,096","61,791","62,766","62,466","59,329","19,467.65","19,776.71",-,-,-,"4,572","4,641",-,-,-,56.66,57.01,103.52,57.12,57.16,-,-,-,-,-
Gloucester,Newfield,3,2,"115,281,816","114,343,474","115,105,833","123,598,508","130,319,880","75,298","74,539","73,456","79,179","84,132","28,809.63","29,214.98",-,-,-,"1,376","1,388",-,-,-,83.29,83.97,93.36,83.79,84.69,-,-,-,-,-
Gloucester,National Park,3,1,"157,791,046","150,524,192","156,066,704","158,762,999","158,732,151","52,685","50,191","52,057","53,187","53,662","25,233.53","26,536.53",-,-,-,"2,581","2,584",-,-,-,94.42,94.12,98.24,94.23,94.26,-,-,-,-,-
Gloucester,Monroe,4,1,"2,516,655,477","2,609,444,955","2,630,673,471","2,654,651,348","2,716,780,713","67,328","70,790","71,277","71,903","73,502","29,874.95","31,202.38",-,-,-,"32,457","32,808",-,-,-,83.14,83.51,98.92,83.34,82.75,A1,A1,A1,Aa3,-
Gloucester,Logan,3,1,"1,148,545,087","1,119,587,677","1,189,079,729","1,215,090,728","1,457,594,914","192,354","187,128","199,243","204,423","247,050","32,615.89","34,316.88",-,-,-,"5,928","5,775",-,-,-,38.21,38.68,112.99,37.65,32.54,-,-,-,Aa3,-
Gloucester,West Deptford,3,1,"2,306,244,881","2,274,981,554","2,263,445,797","2,299,285,815","2,302,656,406","107,859","106,208","106,006","108,212","109,270","33,882.89","34,639.72",-,-,-,"19,619","19,655",-,-,-,58.5,60.11,100.67,59.94,59.67,-,-,-,-,-
Gloucester,Westville,5,1,"251,554,972","249,429,549","248,745,448","255,047,183","248,186,418","59,554","59,051","59,070","60,812","59,617","24,614.21","26,181.05",-,-,-,"3,414","3,468",-,-,-,73.06,73.62,105.03,74.12,74.84,A3,-,-,-,-
Gloucester,Washington Twp,4,1,"4,439,180,872","4,485,376,829","4,524,504,894","4,598,354,561","4,649,949,012","92,790","93,715","94,192","96,103","97,859","38,473.92","39,811.82",-,-,-,"45,497","45,537",-,-,-,80.05,79.66,106.78,79.88,79.86,Aa3,Aa3,Aa2,Aa2,-
Gloucester,Wenonah,5,1,"233,733,161","226,359,532","223,802,154","219,436,235","223,117,890","103,881","100,426","99,556","98,006","100,413","48,561.11","52,954.04",-,-,-,"2,178","2,188",-,-,-,96.44,96.35,99.72,96.75,97.14,-,-,-,-,-
Gloucester,South Harrison,3,2,"384,484,810","384,123,362","393,943,815","395,945,250","409,381,420","119,183","122,410","123,648","124,904","130,128","43,801.45","46,942.86",-,-,-,"3,286","3,321",-,-,-,81.35,80.94,104.13,81.27,81.17,-,-,-,-,-
Gloucester,Swedesboro,3,2,"174,717,707","178,255,499","174,492,614","175,098,456","175,222,402","66,610","68,219","67,061","67,501","67,942","25,904.61","26,783.96",-,-,-,"2,424","2,451",-,-,-,79.14,78.36,101.17,78.89,78.68,-,-,-,-,-
Essex,Millburn,27,7,"9,316,147,255","9,452,795,589","9,724,664,140","10,362,510,172","10,591,406,653","456,652","464,214","478,859","505,784","525,081","193,785.25","203,538.84",-,-,-,"21,025","21,428",-,-,-,82.12,82.18,118.86,81.32,81.4,-,-,-,-,-
Essex,Irvington,28,10,"2,172,578,225","2,073,816,189","2,049,529,021","1,972,852,835","2,031,582,658","39,855","37,996","37,658","35,958","37,460","18,162.05","19,053.41",-,-,-,"45,570","44,864",-,-,-,57.66,57.92,112.49,59.8,60.2,Ba1,Ba1,Ba1,Ba1,-
